IV57GWI1	334203	11552	0	0.2004	0.82	0.6399264335632324
IV57GWI1	334203	11552	0.25	0.2946	0.82	0.9990100860595703
IV57GWI1	334203	11552	0.5	0.2946	0.82	1.0146996974945068
IV57GWI1	334203	11552	0.75	0.2946	0.82	1.0919573307037354
IV57GWI1	334203	11552	1.0	0.3144	0.0	0.09869694709777832
O3PKZOLI	11552	11070	0	0.1329	0.74	0.7629523277282715
O3PKZOLI	11552	11070	0.25	0.2557	0.74	0.8782839775085449
O3PKZOLI	11552	11070	0.5	0.2557	0.74	1.1251716613769531
O3PKZOLI	11552	11070	0.75	0.2557	0.74	1.2685356140136719
O3PKZOLI	11552	11070	1.0	0.2763	0.0	0.09988164901733398
OJYK44QR	11552	11082	0	0.1645	0.74	0.7102618217468262
OJYK44QR	11552	11082	0.25	0.266	0.74	0.9850215911865234
OJYK44QR	11552	11082	0.5	0.266	0.74	0.958425760269165
OJYK44QR	11552	11082	0.75	0.266	0.74	1.1730635166168213
OJYK44QR	11552	11082	1.0	0.2888	0.0	0.12025618553161621
AVFA2CVI	11552	10255	0	0.2135	0.26	14.071969747543335
AVFA2CVI	11552	10255	0.25	0.4729	0.26	102.50582218170166
AVFA2CVI	11552	10255	0.5	0.4729	0.26	104.28059387207031
AVFA2CVI	11552	10255	0.75	0.4729	0.26	34.9237105846405
AVFA2CVI	11552	10255	1.0	0.4885	0.0	0.12221002578735352
XCLW5HRH	11552	10407	0	0.1986	0.94	0.7203092575073242
XCLW5HRH	11552	10407	0.25	0.3124	0.94	1.682082176208496
XCLW5HRH	11552	10407	0.5	0.3124	0.94	1.2650728225708008
XCLW5HRH	11552	10407	0.75	0.3124	0.94	1.338829517364502
XCLW5HRH	11552	10407	1.0	0.3494	0.0	0.1144564151763916
PWHB81G9	11552	138950	0	0.2002	0.7	1.02186918258667
PWHB81G9	11552	138950	0.25	0.3134	0.7	1.3722994327545166
PWHB81G9	11552	138950	0.5	0.3134	0.7	1.306748390197754
PWHB81G9	11552	138950	0.75	0.3134	0.7	1.6262359619140625
PWHB81G9	11552	138950	1.0	0.3263	0.0	0.13084030151367188
